archivo,d_ij,d_t,ratio
input/medium_8.csv,1.5,2.6715,0.561481
input/medium_8.csv,0.4,1.4645,0.273131
input/medium_8.csv,0.6,3.21868,0.186412
input/medium_8.csv,1.6,1.54497,1.03562
input/medium_8.csv,0.4,1.56106,0.256236
input/medium_8.csv,0.5,1.64153,0.304594
input/medium_8.csv,0.6,1.33575,0.449185
input/medium_8.csv,0.4,2.30136,0.173811
input/medium_8.csv,1.5,1.77027,0.847326
input/medium_8.csv,0.5,4.02335,0.124275
input/medium_8.csv,0.5,2.09214,0.23899
input/medium_8.csv,0.5,0.917324,0.545064
input/medium_8.csv,0.6,1.36794,0.438616
input/medium_9.csv,0.2,4.18428,0.0477979
input/medium_9.csv,0.7,3.9107,0.178996
input/medium_9.csv,0.7,1.59325,0.439354
input/medium_9.csv,6.3,7.40296,0.85101
input/medium_9.csv,13.3,19.8593,0.669713
input/medium_9.csv,2.6,1.44841,1.79508
input/medium_9.csv,6.3,11.2654,0.559235
input/medium_9.csv,4.5,4.53834,0.991552
input/medium_9.csv,0.3,1.93121,0.155343
input/medium_9.csv,5.4,4.86021,1.11106
input/medium_9.csv,0.8,0.434522,1.8411
input/medium_9.csv,1,1.15872,0.863018
input/medium_9.csv,0.3,0.611549,0.490557
input/medium_9.csv,6.9,3.8946,1.77168
input/medium_9.csv,0.3,1.80246,0.166439
input/medium_9.csv,0.7,2.23698,0.312922
input/medium_9.csv,2.1,1.40013,1.49987
input/medium_9.csv,0.9,1.77027,0.508396
input/medium_9.csv,0.3,0.949511,0.315952
input/medium_9.csv,0.7,0.643736,1.0874
input/medium_9.csv,1.9,0.80467,2.36122
input/medium_9.csv,0.5,2.6715,0.18716
input/medium_9.csv,1.2,1.12654,1.06521
input/medium_9.csv,1.7,2.47838,0.685931
input/medium_9.csv,9.4,7.85358,1.19691
input/medium_9.csv,9,9.17324,0.981115
input/medium_9.csv,5.2,4.3935,1.18357
input/medium_9.csv,0.3,1.44841,0.207124
input/medium_9.csv,3.7,3.21868,1.14954
input/medium_9.csv,0.3,1.28747,0.233015
input/medium_9.csv,3.7,2.89681,1.27727
input/medium_9.csv,5.6,2.57494,2.1748
input/medium_9.csv,0.4,0.788577,0.507243
input/medium_9.csv,0.9,1.80246,0.499317
input/medium_9.csv,3.9,9.97791,0.390863
input/medium_9.csv,0.8,2.05996,0.388358
input/medium_9.csv,0.7,1.33575,0.524049
input/medium_9.csv,0.6,1.80246,0.332878
input/medium_9.csv,2.8,2.4301,1.15221
input/medium_9.csv,1.8,2.51057,0.716969
