archivo,d_ij,d_t,ratio
input/medium_9.csv,0.1,2.22089,0.045027
input/medium_9.csv,0.5,5.10161,0.0980083
input/medium_9.csv,1.9,2.51057,0.7568
input/medium_9.csv,1.2,0.949511,1.26381
input/medium_9.csv,3.3,0.434522,7.59456
input/medium_9.csv,3.2,5.00505,0.639355
input/medium_9.csv,3.2,11.2654,0.284056
input/medium_9.csv,0.8,1.65762,0.48262
input/medium_9.csv,1.8,0.869044,2.07124
input/medium_9.csv,0.4,2.25308,0.177535
input/medium_9.csv,2.3,7.5639,0.304076
input/medium_9.csv,1.6,0.643736,2.48549
input/medium_9.csv,3.3,1.12654,2.92933
input/medium_9.csv,0.7,1.28747,0.543701
input/medium_9.csv,1.2,1.44841,0.828497
input/large_0.csv,5.7,1.25529,4.5408
input/large_0.csv,13.8,2.929,4.71151
input/large_0.csv,2.4,2.33354,1.02848
input/large_0.csv,3.2,1.28747,2.48549
input/large_0.csv,9.3,1.48059,6.28127
input/large_0.csv,0.1,0.80467,0.124275
input/large_0.csv,11.8,2.78416,4.23826
input/large_0.csv,1.5,2.89681,0.517811
input/large_0.csv,0.4,6.80751,0.0587587
input/large_0.csv,1.3,4.21647,0.308315
input/large_0.csv,1.1,0.675923,1.6274
input/large_0.csv,2.8,1.99558,1.4031
input/large_0.csv,0.3,2.62322,0.114363
input/large_0.csv,2.6,1.40013,1.85698
input/large_0.csv,0.3,2.89681,0.103562
input/large_0.csv,5.3,6.13159,0.864377
input/large_0.csv,3.3,4.53834,0.727138
input/large_0.csv,3.3,2.62322,1.25799
input/large_0.csv,1.4,0.611549,2.28927
input/large_0.csv,7.3,1.12654,6.48003
input/large_0.csv,1.3,2.09214,0.621373
input/large_0.csv,13.8,1.25529,10.9935
input/large_0.csv,0.8,9.65604,0.0828497
input/large_0.csv,1.6,1.44841,1.10466
input/large_0.csv,15.7,5.31082,2.95623
input/large_0.csv,1.3,1.11044,1.1707
input/large_0.csv,0.8,4.84411,0.165149
input/large_0.csv,1.7,5.14989,0.330104
input/large_0.csv,0.8,5.8419,0.136942
input/large_0.csv,3.9,5.32692,0.732131
input/large_0.csv,2.6,2.51057,1.03562
input/large_0.csv,14.6,2.09214,6.97849
input/large_0.csv,2.5,1.77027,1.41221
input/large_0.csv,15.6,7.20984,2.16371
input/large_0.csv,2.4,1.14263,2.10041
input/large_0.csv,1.1,3.21868,0.341755
input/large_0.csv,2.3,0.643736,3.57289
input/large_0.csv,0.2,8.69044,0.0230138
input/large_0.csv,0.4,6.06721,0.0659281
input/large_0.csv,0.1,1.02998,0.0970895
input/large_0.csv,1.5,2.57494,0.582537
input/large_0.csv,4.1,5.31082,0.772009
input/large_0.csv,2.7,3.86242,0.699044
input/large_0.csv,3.7,28.3244,0.130629
input/large_0.csv,0.5,16.5762,0.0301637
